CODASG;NOMASG;NHTASG;NHPASG;CREASG
5120;ROMANO I;3;0;3
5121;DERECHO ROMANO II;3;0;3
5123;CIVIL GRAL-PERSONAS I;3;0;3
5124;CIVIL GRAL-PERSONAS II;3;0;3
5125;PERSONAS;3;0;3
5129;BIENES I;3;0;3
5130;BIENES II;3;0;3
5131;OBLIGACIONES I;3;0;3
5132;OBLIGACIONES II;3;0;3
5133;LABORAL INDIVIDUAL I;3;0;3
5135;CONTRATOS I;3;0;3
5136;CONTRATOS II;3;0;3
5138;DER COMER SOCIEDADES I;2;0;2
5139;DER COMER SOCIEDADES II;2;0;2
5140;SEGURIDAD SOCIAL;2;0;2
5141;DERECHO DE FAMILIA I;2;0;2
5142;COMERCIAL GENERAL;2;0;2
5144;LABORAL COLECTIVO;2;0;2
5145;LABORAL INDIVIDUAL II;3;0;3
5150;REGIMEN DE QUIEBRAS;2;0;2
5151;DERECHO DE FAMILIA II;2;0;2
5153;INTR AL DERECHO I;3;0;3
5154;INTRODUCCION AL DERECHO;2;0;2
5155;INT AL DERECHO II;3;0;3
5156;CODIGO DEL MENOR;1;0;1
5158;SUCESIONES I;2;0;2
5159;SUCESIONES II;2;0;2
5167;COMERCIO EXTERIOR;2;0;2
5168;CONTRATO DE SEGUROS;2;0;2
5170;LEGISLACION EDUCATIVA;3;0;3
5172;LEGISLACION COMERCIAL;3;0;2
5174;LEGISLACION LABORAL;3;0;3
5176;LEGISLACION TRIBUTARIA;2;0;2
5195;LEGISLACION BANCARIA;2;0;2
5196;TITULOS VALORES;3;0;3
5198;SEM INVEST. DIRIGIDA;2;0;2
5201;SEMINARIO ELECTIVO;2;0;2
5212;CIENCIAS POLITICAS;2;0;2
5215;CONSTITUCIONAL GRAL I;3;0;3
5216;CONSTITUCIONAL GRAL II;3;0;3
5217;CONSTITUCIONAL COL I;3;0;3
5218;CONSTITUCIONAL COL II;3;0;3
5221;HACIENDA PUBLICA;3;0;3
5222;DER. INTERN. PUBLICO;3;0;3
5225;PENAL GENERAL I;3;0;3
5226;PENAL GENERAL II;3;0;3
5234;ADMINISTRATIVO GENERAL;3;0;3
5235;ADMINISTRATIVO COL II;3;0;3
5236;ADMINISTRATIVO COL I;3;0;3
5238;PENAL ESPECIAL I;3;0;3
5239;PENAL ESPECIAL II;3;0;3
5240;PROCEDIMIENTO LABORAL;2;0;2
5242;PROCED CIVIL GENERAL I;2;0;2
5243;PROCED CIVIL GRAL II;2;0;2
5244;PROCED CIVIL ESPECIAL I;2;0;2
5245;PROCED CIVIL ESPECIAL II;2;0;2
5246;PROCEDIMIENTO PENAL I;2;0;2
5247;PROCEDIMIENTO PENAL II;2;0;2
5252;CONSULTORIO JURIDICO I;0;1;1
5253;CONSULTORIO JURIDICO II;0;1;1
5254;CONSULTORIO JURIDICO III;0;2;2
5255;CONSULTORIO JURIDICO IV;0;2;2
5257;TEORIA DEL PROCESO II;2;0;2
5258;TEORIA GRAL DEL PROCESO;2;0;2
5260;ESTATUTO DEL ABOGADO;1;0;1
5272;DERECHO PROBATORIO I;2;0;2
5273;DERECHO PROBATORIO II;2;0;2
5276;LEGISLACION TRIBUTARIA;2;0;2
5280;CONTRATACION ADMTVA.;3;0;3
5281;PROCEDIMIENTO ADMTIVO;2;0;2
5290;SEM. DE DERECHO MINERO;2;0;2
5293;SEM.DE DERECHO ECOLOGICO;2;0;2
7001;EXIG. IDIOMA I;0;0;0
7002;EXIG. IDIOMA II;0;0;0
7003;EXIG. IDIOMA III;5;0;0
7010;NIVEL I DE INGLES;5;0;0
7011;NIVEL II DE INGLES;5;0;0
7012;NIVEL III DE INGLES;5;0;0
7013;NIVEL IV DE INGLES;5;0;0
7014;NIVEL V DE INGLES;5;0;0
7020;NIVEL VI DE INGLES;5;0;0
7021;NIVEL VII DE INGLES;5;0;0
7022;NIVEL VIII DE INGLES;5;0;0
7030;NIVEL VI DE INGLES;5;0;0
7031;NIVEL VII DE INGLES;5;0;0
7032;NIVEL VIII DE INGLES;5;0;0
7040;NIVEL VI DE INGLES;5;0;0
7041;NIVEL VII DE INGLES;5;0;0
7042;NIVEL VIII DE INGLES;5;0;0
8000;DEPORTES I;0;2;1
8001;DEPORTES II;0;2;1
8020;INTR VIDA UNIVERSITARIA;1;0;0
8023;INTR VIDA UNIVERSITARIA;2;0;0
8024;INTR VIDA UNIVERSITARIA;2;0;0
8032;INTR VIDA UNIVERSITARIA;2;0;0
8038;INTR VIDA UNIVERSITARIA;2;0;0
8040;INTR VIDA UNIVERSITARIA;2;0;0
8070;EDUCACION FISICA;0;2;1
8071;BALONCESTO;0;2;1
8072;BEISBOL;0;2;1
8074;FUTBOL;0;2;1
8076;VOLEIBOL;0;2;1
8077;SOFTBOL;0;2;1
8078;ATLETISMO;0;2;1
8080;AJEDREZ;0;2;1
8081;BRIDGE;0;2;1
8082;TAEKWONDO;0;2;1
8110;CORO;0;2;1
8111;DANZAS;0;2;1
8112;TEATRO;0;2;1
8113;TUNA;0;2;1
8114;CUERDA;0;2;1
8116;TERTULIA MUSICAL;0;2;1
8118;DANZAS MODERNAS;0;2;1
9010;DESARROLLO MINERO;3;0;3
9011;MINERIA DE SUPERFICIE;3;0;3
9014;INVEST DE OPERACIONES;3;0;3
9015;SELEC EQUIPOS MINEROS;3;0;3
9016;ANALISIS DE COSTOS;3;0;3
9017;FORM-EVAL DE PROYECTOS;3;0;3
9018;PLANEACION DEL MTTO;3;0;3
9020;MOD FIS Y MAT PROB HIDRO;3;0;3
9021;INT HIDRAULICA DE RIOS;3;0;3
9022;HIDR AGUA SUBTERRANEAS;3;0;3
9023;INGENIERIA DE COSTAS;3;0;3
9024;INGENIERIA DE PUERTOS;3;0;3
9025;IRRIGACION;3;0;3
9026;FORM-EVAL PROY R.HIDRICO;3;0;3
9030;SISTEMAS E ING SISTEMAS;3;0;3
9031;INFORMATICA DE GESTION;3;2;4
9032;MODELAJE Y SIMULACION;3;0;3
9033;INFORMATICA APLICADA;2;3;4
9034;FORM.DIS.DES.DE PROY.INF;2;1;3
9035;SEMINARIO DE INFORMATICA;2;0;1
9040;PLAN.Y FORM.DE PROYECTOS;3;0;4
9041;ANAL.DE COST.PRESUPUESTO;3;0;3
9042;FINANZAS-EVAL.PROYECTOS;3;0;3
9043;ADMON.CONTROL-EJECUCION;3;0;3
9044;MARCO LEGAL INST.DE PROY;3;0;3
9045;SEM.PROYECTOS EN ING.;2;0;2
9046;ESTIM ESPIRITU EMPRESARI;3;0;3
9050;PERSPECTIVAS EN INFORMAT;3;0;3
9051;TEORIA SIST/INFORMACION;3;1;3
9053;TENDENCIAS Y HERRAMIENT.;3;2;3
9054;SIST. DE INF. APLICADOS;3;0;3
9055;PROYECTOS INFORMATICOS I;3;2;3
9056;PROYECTOS INFORMATIC. II;2;1;3
9060;GERC.PROY.AUTOMATIZACION;3;0;3
9061;PROYECTO AUTOMATIZACION;3;0;3
9062;INFORMATICA INDUSTRIAL;3;0;3
9063;INSTRUMENTACION INDTRIAL;3;0;3
9064;SIST.CONTROL DE PROCESOS;3;0;3
9065;PROCESOS INDUSTRIALES;3;0;3
9066;DIS.SIST.CONTROL PROCESO;3;0;3
